data,sem
2019-02-28,3
2019-02-27,2
2019-02-26,1
2019-02-25,0
2019-02-24,6
2019-02-23,5
2019-02-22,4
2019-02-21,3
2019-02-20,2
2019-02-19,1
2019-02-18,0
2019-02-17,6
2019-02-16,5
2019-02-15,4
2019-02-14,3
2019-02-13,2
2019-02-12,1
2019-02-11,0
2019-02-10,6
2019-02-09,5
2019-02-08,4
2019-02-07,3
2019-02-06,2
2019-02-05,1
2019-02-04,0
2019-02-03,6
2019-02-02,5
2019-02-01,4
2019-01-31,3
2019-01-30,2
2019-01-29,1
2019-01-28,0
2019-01-27,6
2019-01-26,5
2019-01-25,4
2019-01-24,3
2019-01-23,2
2019-01-22,1
2019-01-21,0
2019-01-20,6
2019-01-19,5
2019-01-18,4
2019-01-17,3
2019-01-16,2
2019-01-15,1
2018-12-12,2
2018-12-11,1
2018-12-10,0
2018-12-09,6
2018-12-08,5
2018-12-07,4
2018-12-06,3
2018-12-05,2
2018-12-04,1
2018-12-03,0
2018-12-02,6
2018-12-01,5
2018-11-30,4
2018-11-29,3
2018-11-28,2
2018-11-27,1
2018-11-26,0
2018-11-25,6
2018-11-24,5
2018-11-23,4
2018-11-22,3
2018-11-21,2
2018-11-20,1
2018-11-19,0
2018-11-18,6
2018-11-17,5
2018-11-16,4
2018-11-15,3
2018-11-14,2
2018-11-13,1
2018-11-12,0
2018-11-11,6
2018-11-10,5
2018-11-09,4
2018-11-08,3
2018-11-07,2
2018-11-06,1
2018-11-05,0
2018-11-04,6
2018-11-03,5
2018-11-02,4
2018-11-01,3
2018-10-31,2
2018-10-30,1
2018-10-29,0
2018-10-28,6
2018-10-27,5
2018-10-26,4
2018-10-25,3
2018-10-24,2
2018-10-23,1
2018-10-22,0
2018-10-21,6
2018-10-20,5
2018-10-19,4
2018-10-18,3
2018-10-17,2
2018-10-16,1
2018-10-15,0
2018-10-14,6
2018-10-13,5
2018-10-12,4
2018-10-11,3
2018-10-10,2
2018-10-09,1
2018-10-08,0
2018-10-07,6
2018-10-06,5
2018-10-05,4
2018-10-04,3
2018-10-03,2
2018-10-02,1
2018-10-01,0
2018-09-30,6
2018-09-29,5
2018-09-28,4
2018-09-27,3
2018-09-26,2
2018-09-25,1
2018-09-24,0
2018-09-23,6
2018-09-22,5
2018-09-21,4
2018-09-20,3
2018-09-19,2
2018-09-18,1
2018-09-17,0
2018-09-16,6
2018-09-15,5
2018-09-14,4
2018-09-13,3
2018-09-12,2
2018-09-11,1
2018-09-10,0
2018-09-09,6
2018-09-08,5
2018-09-07,4
2018-09-06,3
2018-09-05,2
2018-09-04,1
2018-09-03,0
2018-09-02,6
2018-09-01,5
2018-08-31,4
2018-08-30,3
2018-08-29,2
2018-08-28,1
2018-08-27,0
2018-08-26,6
2018-08-25,5
2018-08-24,4
2018-08-23,3
2018-08-22,2
2018-08-21,1
2018-08-20,0
2018-08-19,6
2018-08-18,5
2018-08-17,4
2018-08-16,3
2018-08-15,2
2018-08-14,1
2018-08-13,0
2018-08-12,6
2018-08-11,5
2018-08-10,4
2018-08-09,3
2018-08-08,2
2018-08-07,1
2018-08-06,0
2018-08-05,6
2018-08-04,5
2018-08-03,4
2018-08-02,3
2018-08-01,2
2018-07-31,1
2018-07-30,0
2018-07-29,6
2018-07-28,5
2018-07-27,4
2018-07-26,3
2018-07-25,2
2018-07-24,1
